ID,Title,Content,Excerpt,Date,"Post Type",Permalink,"Image URL","Image Title","Image Caption","Image Description","Image Alt Text","Image Featured","Attachment URL",Status,"Author ID","Author Username","Author Email","Author First Name","Author Last Name",Slug,Format,Template,Parent,"Parent Slug",Order,"Comment Status","Ping Status","Post Modified Date"
3,"Privacy Policy","<!-- wp:heading -->
<h2 class=""wp-block-heading"">Who we are</h2>
<!-- /wp:heading -->
<!-- wp:paragraph -->
<p><strong class=""privacy-policy-tutorial"">Suggested text: </strong>Our website address is: https://www.web5abhijitblog.com.</p>
<!-- /wp:paragraph -->
<!-- wp:heading -->
<h2 class=""wp-block-heading"">Comments</h2>
<!-- /wp:heading -->
<!-- wp:paragraph -->
<p><strong class=""privacy-policy-tutorial"">Suggested text: </strong>When visitors leave comments on the site we collect the data shown in the comments form, and also the visitor&#8217;s IP address and browser user agent string to help spam detection.</p>
<!-- /wp:paragraph -->
<!-- wp:paragraph -->
<p>An anonymized string created from your email address (also called a hash) may be provided to the Gravatar service to see if you are using it. The Gravatar service privacy policy is available here: https://automattic.com/privacy/. After approval of your comment, your profile picture is visible to the public in the context of your comment.</p>
<!-- /wp:paragraph -->
<!-- wp:heading -->
<h2 class=""wp-block-heading"">Media</h2>
<!-- /wp:heading -->
<!-- wp:paragraph -->
<p><strong class=""privacy-policy-tutorial"">Suggested text: </strong>If you upload images to the website, you should avoid uploading images with embedded location data (EXIF GPS) included. Visitors to the website can download and extract any location data from images on the website.</p>
<!-- /wp:paragraph -->
<!-- wp:heading -->
<h2 class=""wp-block-heading"">Cookies</h2>
<!-- /wp:heading -->
<!-- wp:paragraph -->
<p><strong class=""privacy-policy-tutorial"">Suggested text: </strong>If you leave a comment on our site you may opt-in to saving your name, email address and website in cookies. These are for your convenience so that you do not have to fill in your details again when you leave another comment. These cookies will last for one year.</p>
<!-- /wp:paragraph -->
<!-- wp:paragraph -->
<p>If you visit our login page, we will set a temporary cookie to determine if your browser accepts cookies. This cookie contains no personal data and is discarded when you close your browser.</p>
<!-- /wp:paragraph -->
<!-- wp:paragraph -->
<p>When you log in, we will also set up several cookies to save your login information and your screen display choices. Login cookies last for two days, and screen options cookies last for a year. If you select &quot;Remember Me&quot;, your login will persist for two weeks. If you log out of your account, the login cookies will be removed.</p>
<!-- /wp:paragraph -->
<!-- wp:paragraph -->
<p>If you edit or publish an article, an additional cookie will be saved in your browser. This cookie includes no personal data and simply indicates the post ID of the article you just edited. It expires after 1 day.</p>
<!-- /wp:paragraph -->
<!-- wp:heading -->
<h2 class=""wp-block-heading"">Embedded content from other websites</h2>
<!-- /wp:heading -->
<!-- wp:paragraph -->
<p><strong class=""privacy-policy-tutorial"">Suggested text: </strong>Articles on this site may include embedded content (e.g. videos, images, articles, etc.). Embedded content from other websites behaves in the exact same way as if the visitor has visited the other website.</p>
<!-- /wp:paragraph -->
<!-- wp:paragraph -->
<p>These websites may collect data about you, use cookies, embed additional third-party tracking, and monitor your interaction with that embedded content, including tracking your interaction with the embedded content if you have an account and are logged in to that website.</p>
<!-- /wp:paragraph -->
<!-- wp:heading -->
<h2 class=""wp-block-heading"">Who we share your data with</h2>
<!-- /wp:heading -->
<!-- wp:paragraph -->
<p><strong class=""privacy-policy-tutorial"">Suggested text: </strong>If you request a password reset, your IP address will be included in the reset email.</p>
<!-- /wp:paragraph -->
<!-- wp:heading -->
<h2 class=""wp-block-heading"">How long we retain your data</h2>
<!-- /wp:heading -->
<!-- wp:paragraph -->
<p><strong class=""privacy-policy-tutorial"">Suggested text: </strong>If you leave a comment, the comment and its metadata are retained indefinitely. This is so we can recognize and approve any follow-up comments automatically instead of holding them in a moderation queue.</p>
<!-- /wp:paragraph -->
<!-- wp:paragraph -->
<p>For users that register on our website (if any), we also store the personal information they provide in their user profile. All users can see, edit, or delete their personal information at any time (except they cannot change their username). Website administrators can also see and edit that information.</p>
<!-- /wp:paragraph -->
<!-- wp:heading -->
<h2 class=""wp-block-heading"">What rights you have over your data</h2>
<!-- /wp:heading -->
<!-- wp:paragraph -->
<p><strong class=""privacy-policy-tutorial"">Suggested text: </strong>If you have an account on this site, or have left comments, you can request to receive an exported file of the personal data we hold about you, including any data you have provided to us. You can also request that we erase any personal data we hold about you. This does not include any data we are obliged to keep for administrative, legal, or security purposes.</p>
<!-- /wp:paragraph -->
<!-- wp:heading -->
<h2 class=""wp-block-heading"">Where your data is sent</h2>
<!-- /wp:heading -->
<!-- wp:paragraph -->
<p><strong class=""privacy-policy-tutorial"">Suggested text: </strong>Visitor comments may be checked through an automated spam detection service.</p>
<!-- /wp:paragraph -->
",,2025-06-21,page,https://www.web5abhijitblog.com/privacy-policy/,,,,,,,,publish,1,abhijitsilindia,abhijitsilindia@gmail.com,Abhijit,Sil,privacy-policy,,default,0,0,0,closed,open,2025-06-29
8,Shop,,,2025-06-21,page,https://www.web5abhijitblog.com/shop/,,,,,,,,publish,1,abhijitsilindia,abhijitsilindia@gmail.com,Abhijit,Sil,shop,,,0,0,0,closed,closed,2025-06-21
9,Cart,"<!-- wp:shortcode -->[woocommerce_cart]<!-- /wp:shortcode -->",,2025-06-21,page,https://www.web5abhijitblog.com/cart/,,,,,,,,publish,1,abhijitsilindia,abhijitsilindia@gmail.com,Abhijit,Sil,cart,,,0,0,0,closed,closed,2025-06-21
10,Checkout,"<!-- wp:shortcode -->[woocommerce_checkout]<!-- /wp:shortcode -->",,2025-06-21,page,https://www.web5abhijitblog.com/checkout/,,,,,,,,publish,1,abhijitsilindia,abhijitsilindia@gmail.com,Abhijit,Sil,checkout,,,0,0,0,closed,closed,2025-06-21
11,"My account","<!-- wp:shortcode -->[woocommerce_my_account]<!-- /wp:shortcode -->",,2025-06-21,page,https://www.web5abhijitblog.com/my-account/,,,,,,,,publish,1,abhijitsilindia,abhijitsilindia@gmail.com,Abhijit,Sil,my-account,,,0,0,0,closed,closed,2025-06-21
62,"Customer Cabinet","<!-- wp:latepoint/customer-dashboard --><div class=""wp-block-latepoint-customer-dashboard"">Customer Dashboard</div><!-- /wp:latepoint/customer-dashboard -->",,2025-06-21,page,https://www.web5abhijitblog.com/customer-cabinet/,,,,,,,,publish,1,abhijitsilindia,abhijitsilindia@gmail.com,Abhijit,Sil,customer-cabinet,,,0,0,0,closed,closed,2025-06-21
414,"Contact Us","<h1>Contact Us</h1>					<h5>Have any queries?</h5>					<h2>We're here to help.​</h2>							
				<h3 data-elementor-setting-key=""infocard_title"" data-elementor-inline-editing-toolbar=""basic"" >Sales</h3>			
					For inquiries about our products, services, or bulk orders, feel free to reach out. Our sales team is ready to assist you.				
					<h5>feedback@web5abhijitblog.com</h5>				
				<h3 data-elementor-setting-key=""infocard_title"" data-elementor-inline-editing-toolbar=""basic"" >Complaints</h3>			
					Facing any issues with your order or service? Let us know. We are here to resolve your concerns promptly.
					<h5>support@web5abhijitblog.com</h5>					<h5>01169653815</h5>				
				<h3 data-elementor-setting-key=""infocard_title"" data-elementor-inline-editing-toolbar=""basic"" >Returns</h3>			
					To initiate a return or ask about refund status, please email our returns department. We'll guide you step-by-step.				
					<h5>returns@web5abhijitblog.com</h5>				
				<h3 data-elementor-setting-key=""infocard_title"" data-elementor-inline-editing-toolbar=""basic"" >Marketing</h3>			
Want to collaborate, advertise, or promote your product through our platform? Let's talk business.				
					<h5>info@web5abhijitblog.com</h5>					<h6>Don't be a stranger!</h6>				
				<h2 data-elementor-setting-key=""infocard_title"" data-elementor-inline-editing-toolbar=""basic"" >You tell us. We listen.</h2>			
					Have a question, feedback, or need assistance? We're here to help.
Please fill out the form below with your query, and our support team will get back to you as soon as possible — typically within 24 hours.
For urgent issues, kindly mention “URGENT” in the subject line.				
		[wpforms id=""68""]",,2025-06-21,page,https://www.web5abhijitblog.com/contact-us/,https://www.web5abhijitblog.com/wp-content/uploads/2019/12/banner-06.jpg,banner-06,,,,,,publish,1,abhijitsilindia,abhijitsilindia@gmail.com,Abhijit,Sil,contact-us,,default,0,0,0,closed,closed,2025-07-11
438,Shop,"<!-- wp:uagb/container {\"block_id\":\"823343d0\",\"bottomPaddingDesktop\":17,\"leftPaddingDesktop\":65,\"rightPaddingDesktop\":65,\"topPaddingTablet\":0,\"bottomPaddingTablet\":0,\"leftPaddingTablet\":10,\"rightPaddingTablet\":10,\"topPaddingMobile\":0,\"bottomPaddingMobile\":0,\"leftPaddingMobile\":28,\"rightPaddingMobile\":28,\"paddingLink\":false,\"topMarginDesktop\":0,\"bottomMarginDesktop\":0,\"leftMarginDesktop\":0,\"rightMarginDesktop\":0,\"topMarginTablet\":0,\"bottomMarginTablet\":0,\"leftMarginTablet\":0,\"rightMarginTablet\":0,\"topMarginMobile\":0,\"bottomMarginMobile\":0,\"leftMarginMobile\":0,\"rightMarginMobile\":0,\"marginLink\":false,\"variationSelected\":true,\"isBlockRootParent\":true} -->
<div class=\"wp-block-uagb-container uagb-block-823343d0 alignfull uagb-is-root-container\"><div class=\"uagb-container-inner-blocks-wrap\"><!-- wp:surecart/product-item-list {\"columns\":3,\"limit\":12,\"style\":{\"spacing\":{\"blockGap\":\"20px\"}}} -->
<!-- wp:surecart/product-item {\"lock\":{\"move\":false,\"remove\":false},\"style\":{\"spacing\":{\"padding\":{\"top\":\"0px\",\"bottom\":\"20px\",\"left\":\"0px\",\"right\":\"0px\"},\"margin\":{\"top\":\"0px\",\"bottom\":\"0px\",\"left\":\"0px\",\"right\":\"0px\"}}}} -->
